refactoring,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
1,\DATASET\abfiles\r9\c34\after\PropertiesActivity.java,com.jeremyfeinstein.slidingmenu.example.PropertiesActivity$Anonymous8,anonymous,1,1,0,1,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,-1,0
1,\DATASET\abfiles\r9\c34\after\ViewPagerActivity.java,com.jeremyfeinstein.slidingmenu.example.ViewPagerActivity,class,6,7,1,6,2,4,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,1,1,0,1,0,1,1,0,37,1,0
1,\DATASET\abfiles\r9\c34\after\ResponsiveUIActivity.java,com.jeremyfeinstein.slidingmenu.example.fragments.ResponsiveUIActivity$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity$Anonymous4,anonymous,1,1,0,1,3,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,2,1,0,0,0,0,16,-1,0
0,\DATASET\abfiles\r9\c34\before\Util.java,com.slidingmenu.example.Util,class,3,5,2,3,1,1,0,2,0,0.0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,2,0,0,0,0,14,1,0
0,\DATASET\abfiles\r9\c34\before\BirdActivity.java,com.slidingmenu.example.fragments.BirdActivity,class,11,14,3,11,7,2,0,28,8,0.6,0.0,0.0,5,1,4,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,58,3,0,1,0,0,2,4,9,0,8,1,2,0,0,52,1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity$Anonymous3,anonymous,1,1,0,1,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,-1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity$Anonymous2,anonymous,1,1,0,1,4,1,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity$Anonymous1,anonymous,3,3,0,3,4,1,0,9,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,1,1,0,0,0,16,-1,0
0,\DATASET\abfiles\r9\c34\before\SlidingTitleBar.java,com.slidingmenu.example.SlidingTitleBar,class,3,4,1,3,2,3,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
